,A1_cellid,A1_snr,PEG_cellid,PEG_snr
213,ARM030a-14-1,0.09842375761368703,ARM018a-40-2,0.09834750042617477
214,DRX006b-70-4,0.09888315845843136,ARM017a-49-1,0.09889473226570837
215,DRX006b-70-4,0.09888315845843136,ARM026b-29-5,0.09910034675391613
216,TNC021a-29-1,0.10106299529518648,ARM027a-13-2,0.10101433276014607
217,TNC021a-29-1,0.10106299529518648,ARM028b-19-1,0.10101623156054572
218,ARM031a-08-2,0.10140793223528864,ARM025a-37-3,0.10136705738724544
219,TNC020a-24-1,0.10313644053693437,ARM028b-36-1,0.10299764169568112
220,TNC020a-24-1,0.10313644053693437,ARM025a-16-1,0.10309543276676568
221,DRX006b-127-3,0.10346167903398093,ARM021b-04-2,0.10342926528349858
222,TNC021a-26-2,0.10423408894409117,ARM024a-09-1,0.1042703955902436
223,TNC021a-26-2,0.10423408894409117,ARM017a-04-6,0.10430362964279301
224,TNC018a-07-3,0.1045946940797526,ARM017a-13-2,0.10460070833589816
225,TNC016a-25-1,0.1058057184294128,ARM018a-48-1,0.10620410223820942
226,TNC014a-43-1,0.1087053344279256,ARM019a-61-1,0.10869417759402254
227,DRX008b-37-2,0.10950851746408903,ARM027a-57-2,0.10950016371134412
228,DRX006b-62-2,0.11101522016362048,ARM021b-57-9,0.11100842551165302
229,TNC021a-34-2,0.11167675576360413,ARM022b-09-3,0.11169676059449564
230,TNC008a-16-2,0.11554637983492265,ARM025a-40-1,0.11568036932745647
231,TNC008a-16-2,0.11554637983492265,ARM021b-09-6,0.1156899225000308
232,TNC014a-37-1,0.1174663995010681,ARM017a-42-3,0.11743982736594885
233,TNC017a-34-2,0.1202755418959666,ARM024a-48-1,0.1200975745565321
234,DRX006b-20-2,0.12033765000067415,ARM021b-47-5,0.12044139526500335
235,TNC010a-33-3,0.12177670548510106,ARM017a-10-6,0.12246211310230838
236,DRX006b-95-1,0.12322399075109143,ARM019a-28-3,0.12259916834832965
237,DRX006b-95-1,0.12322399075109143,ARM024a-46-1,0.1227323835304662
